DIVISI,Material SAP,Material Description Maximo,Base Unit of Measure,Status,Lokasi Sistem,Lokasi Fisik,StoreRoom,Penempatan pada Alat,Deskripsi Penempatan
CC,11-100-001874,Box Light GW 80 613 GEWIZ,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001873,Pathcord FO MM ST To ST,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001872,Pigtail MM ST Conector Netviel,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001871,FDU Dinrail RoadmanKapasitas 12 Core,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001870,Gantry Sirine TAB PW-235 220VAC,PC,ACTIVE,2G 4,2G 4,TPS,NULL,No Placement Information Available
CC,11-100-001869,Current Collector Set GSV 2/N BZ SJ,UN,ACTIVE,MM 1,MM 1,TPS,NULL,No Placement Information Available
CC,11-100-001868,"Stopper, PN: 37511, Brand: Legrand -P",PC,PLANNING,2G 4,,TPS,NULL,No Placement Information Available
CC,11-100-001867,"Diode/Kiprok + Scun, 35A -P",PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001866,Scun Tembaga 12-95 -P,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001865,"Spie, Size: 144,5x22x16mm -P",PC,ACTIVE,KK 3,KK 3,TPS,NULL,No Placement Information Available
CC,11-100-001864,Elbow Swifel 04 MU -P,EA,PLANNING,KK 3,,TPS,NULL,No Placement Information Available
CC,11-100-001863,Panel Box 50x40x20cm -P,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001862,"Varistor, PN: ZNR-20-275 -P",PC,PENDOBS,LL 3,,TPS,NULL,No Placement Information Available
